;latitude;longtitude;;r_wet;p_wet;;;r_dry;p_dry;;
1;47.817;13.717;;0.474024489;0.11237573;0;;0.647607879;0.265739236;0;0.621708203
2;47.0831;15.45;;0.836995396;0.404054875;1;3.12488E-07;0.710714824;0.204031662;1;0.001705389
3;47.2667;11.4;;0.940209751;0.352827485;0;;0.617185894;0.21692602;1;2.28933E-05
4;46.65;14.333;;0.425966042;0.209840177;0;;0.629061042;0.150264569;1;0.011444064
5;48.05;14.1331;;0.926746124;0.345607306;1;0.002963328;0.734855098;0.248735693;1;0.010970965
6;47.8;13;;0.884573841;0.280644787;0;;0.661383007;0.239750648;1;0.002302432
7;47.05;12.95;;0.532260186;0.105394581;1;6.50332E-05;0.565129467;0.258196669;0;
8;47.05;12.95;;0.882769611;0.232976334;0;;0.674676005;0.273985284;1;0.001904795
9;48.183;15.617;;0.561811312;0.305928987;0;;0.87541735;0.252851824;0;0.103955715
10;48.183;15.617;;0.434876215;0.180967157;0;;0.614945284;0.209826318;0;0.345807331
11;48.31667;16.13333;;0.905856655;0.509848422;0;0.34608053;0.773570734;0.215752644;0;0.581001996
12;46.6;13.667;;0.472691543;0.102287229;0;;0.489225931;0.227123851;0;0.822485011
13;48.2331;16.35;;0.865550739;0.401835504;1;0.001411702;0.716098599;0.228436622;1;0.003135122
