;latitude;longtitude;;r_wet;p_wet;;;r_dry;p_dry;;
1;50.067;12.383;;0.723719613;0.329140688;0;0.162869801;0.658691589;0.215326987;0;0.531645482
2;49.467;13.833;;0.853962259;0.378580923;0;0.225179049;0.691683956;0.250555022;0;0.066800426
3;50.767;15.017;;0.816183519;0.329141966;1;0.029156838;0.640800115;0.225570293;0;0.087570614
4;49.55;18.45;;0.72149715;0.288346897;0;0.915577877;0.701038679;0.277445935;1;0.001287697
5;50.5544;13.9314;;0.809286942;0.370881609;0;0.891909076;0.725339536;0.248104052;0;0.317731757
6;49.696;18.111;;0.805652;0.389283881;0;0.401531216;0.741177696;0.236559782;0;0.23139904
7;50.0906;14.4192;;1.003456007;0.459794013;0;0.278943039;0.727078094;0.210910174;0;0.520710288
8;50;14.45;;0.828920512;0.428500257;0;0.05740918;0.722113204;0.221835834;1;0.011781924
9;49.583;15.767;;0.730343329;0.347497387;0;0.414133822;0.682993122;0.223449297;1;0.042465157
10;49.667;12.683;;0.783160553;0.321777269;0;0.328787564;0.687229122;0.241294986;0;0.659304159
11;50.101;14.26;;0.846670236;0.417676203;0;0.070143286;0.708196958;0.226454018;0;0.301822755
12;49.151;16.694;;0.878427326;0.472341882;0;0.05229629;0.757416594;0.206974912;1;0.03619215
