;latitude;longtitude;;r_wet;p_wet;;;r_dry;p_dry;;
1;50.143;1.832;;0.68494419;0.255143862;0;0.404503459;0.444348047;0.185954423;1;0.013505455
2;48.45;0.117;;0.643816013;0.243216086;0;0.287937136;0.433134202;0.169401227;0;0.166065175
3;49.8717;2.385;;0.6946496;0.272358494;0;0.74909444;0.518347702;0.191322745;0;0.637617438
4;43.008;1.103;;0.833664051;0.3313208;0;;0.596503156;0.232761281;1;0.01290209
5;45.787;3.169;;0.897635741;0.43813668;0;0.201808893;0.631093741;0.189800601;0;0.184649082
6;47.59;7.53;;0.75197846;0.299878348;0;0.265400325;0.536552834;0.209889497;0;0.089461089
7;47.8981;-1.0347;;0.642717105;0.23367738;1;0.000195946;0.533432102;0.161585064;0;0.378252251
8;48.322;4.017;;0.728779884;0.300374502;0;0.493743981;0.461448533;0.189195758;0;0.170973896
9;45.863;1.179;;0.773568788;0.272207005;0;0.236251087;0.566097097;0.187983665;0;0.070758296
10;46.588;0.307;;0.729904698;0.307798183;0;0.059956787;0.517651302;0.162311668;0;0.627015225
11;43.6231;1.3781;;0.872517323;0.379589724;1;0.016354921;0.671024894;0.189039689;1;0.017763178
12;47.0667;2.3667;;0.832128577;0.307618988;0;0.889493095;0.581129093;0.187080598;0;0.73597943
13;48.6;2.3267;;0.859798144;0.324560715;0;0.315404895;0.53816328;0.1678963;0;0.238030306
14;48.43333;4.48333;;1.934120814;0.491627203;0;;0.317842858;0.111631343;0;
15;45.7231;4.9367;;1.093143589;0.41932097;1;0.018889146;0.645324165;0.189709156;0;0.15129836
16;41.924;8.803;;0.793549392;0.421629254;0;0.819168144;0.504274472;0.092613901;1;0.030929814
17;43.083;5.933;;0.861316124;0.546332126;0;0.126395584;0.535832069;0.093818006;1;1.10102E-09
18;49.173;-0.45;;0.70587809;0.261440113;0;0.782515946;0.495986234;0.209094135;1;0.001865555
19;44.5567;1.3381;;0.727153881;0.375612691;1;0.027404219;0.663453092;0.14800426;0;0.076785581
20;49.03333;5.86667;;0.879804032;0.392218435;1;0.027704878;0.609759763;0.192375672;0;0.68204722
21;46.85;1.71667;;0.855100223;0.344037848;0;0.663831984;0.660875238;0.185612166;0;0.850486752
22;47.8267;2.8481;;0.790967128;0.352021145;0;0.055865324;0.593997206;0.163355126;0;0.819388058
23;47.8481;4.5817;;0.855092844;0.288141613;1;0.008983538;0.594695925;0.198376336;0;0.558403141
24;48.1;5.05;;0.797282552;0.321690136;0;0.806995963;0.563219666;0.165902363;0;0.588426267
25;43.658;7.216;;0.9159295;0.521862299;1;0.034301982;0.616444552;0.101225081;1;0.012858106
26;46.86;1.7217;;0.805821572;0.306576919;1;0.018933483;0.584812337;0.178444167;0;0.325627364
27;48.65;1.1;;0.687504155;0.321064082;0;0.866178258;0.653530139;0.177470232;0;0.289001403
28;-12.805;45.281;;0.519377893;0.362753691;1;0.00118834;0.444438733;0.137917539;1;0.001237726
29;44.567;6.5;;0.962341055;0.480177348;0;0.294546132;0.585623388;0.114925461;1;0.010053282
30;43.2481;0.155;;0.934383137;0.342956442;1;0.046953613;0.712331675;0.225225319;0;0.49465232
31;48.692;6.23;;0.80521338;0.300943581;0;0.13085585;0.541553235;0.192976362;0;0.652548365
32;49.23333;5.68333;;0.986913213;0.412059165;0;0.608220057;0.600058671;0.170045527;0;0.377414035
33;49.01667;1.23333;;0.79789368;0.336590237;0;0.626715692;0.585385034;0.17381762;0;0.226044452
34;45.595;5.53;;0.936725696;0.409323172;1;0.031678493;0.68518951;0.185700057;0;0.773746024
35;44.75;1.4;;0.751524125;0.297586687;1;0.012495913;0.520598662;0.166942581;0;0.183438394
36;49.0167;6.7;;0.901672619;0.34751406;0;0.195607407;0.533436034;0.168297256;0;0.568382878
37;48.448;-4.419;;0.63208372;0.187671285;0;0.643869825;0.42034275;0.21257852;0;0.06012829
38;17.9;-62.85;;0.84306771;0.45919333;0;0.241674494;0.572118306;0.207709236;0;0.080063628
39;-9.8;-139.033;;0.635743507;0.242636564;0;0.259766442;0.218788118;0.093177193;0;
40;-20.567;164.283;;0.871112465;0.442401139;1;0.022353332;0.674557563;0.129001651;1;0.016646404
41;46.2431;1.4681;;0.751759545;0.261287667;1;0.005028658;0.587343535;0.189467092;0;0.129633969
42;49.63333;3.55;;0.918225288;0.385729621;0;0.383336362;0.490474578;0.15552809;0;0.355361287
