;latitude;longtitude;;r_wet;p_wet;;;r_dry;p_dry;;
1;46.03333;12.6;;1.244620582;0.468354636;0;0.06986658;0.654848966;0.147964415;0;0.263025328
2;45.9;13.6;;1.052252693;0.420991616;0;0.24887842;0.697032529;0.163508636;0;0.118621387
3;38.111;13.313;;0.518696173;0.236188018;0;;0.434685039;0.07080295;1;0.012388468
4;44.5;11.3458;;0.91030233;0.457755414;0;0.582413904;0.671040224;0.142430174;0;0.304588829
5;40.6331;17.9331;;0.919925139;0.473771107;0;0.324493182;0.546599021;0.104045396;1;1.10653E-08
6;45.53;8.669;;0.34554329;0.198050829;0;;0.411978907;0.072552288;0;
7;41.567;14.65;;0.648716945;0.376122565;0;;0.561082317;0.108823932;0;0.127291083
8;44.224;12.307;;0.57567105;0.345363301;0;;0.578575248;0.099155583;0;
9;45.8667;7.1667;;0.998928148;0.303294861;1;4.9295E-05;0.703438358;0.242176779;1;0.009380885
10;36.683;15.133;;0.580983108;0.433004426;0;;0.459099299;0.050105066;1;3.57186E-23
11;39.354;8.972;;0.569339815;0.323949953;0;;0.491783337;0.081826908;1;0.012020281
12;46.733;12.217;;0.497331701;0.262853803;0;;0.605831327;0.138247143;1;0.005246643
13;37.567;14.283;;0.996300309;0.508199481;0;;0.500856592;0.087056884;1;0.002136054
14;44.8325;11.6208;;0.949236263;0.481810429;1;0.02207034;0.684372142;0.142736847;1;0.044901312
15;43.517;12.733;;0.571097116;0.22510207;0;;0.577744769;0.146743001;0;0.150301881
16;44.4144;8.9264;;0.876924511;0.442155948;1;0.000544304;0.695351107;0.132373163;0;0.898418912
17;45.432;10.268;;0.593085295;0.295496306;0;;0.56751419;0.111925521;0;0.186825799
18;41.061;14.082;;0.634947529;0.345161218;0;;0.446727139;0.075236149;0;
19;42.76;11.072;;0.521078298;0.371953492;0;;0.55548572;0.077922609;1;4.27943E-05
20;45.685;12.083;;0.661129634;0.338659071;0;;0.627171976;0.128190213;1;0.003148585
21;45.1581;10.7967;;0.971526193;0.476723647;1;0.016843626;0.701997534;0.143518138;0;0.186834387
22;40.433;16.883;;0.599125974;0.491745452;0;;0.564929264;0.072592347;1;7.97574E-08
23;38.2;15.55;;0.728840854;0.377516622;0;;0.499986806;0.086704483;1;1.31135E-09
24;45.4717;9.1892;;1.030201802;0.446820017;1;0.017997583;0.674056981;0.120798795;0;0.252025952
25;44.2;10.7;;0.479118357;0.267768538;0;;0.554750749;0.105487407;0;
26;41.7;15.95;;1.11340598;0.5459967;0;0.713610913;0.611696459;0.117571851;0;0.35670394
27;39.333;16.4;;0.910089915;0.367059657;0;;0.470812177;0.09336384;0;
28;45.3983;11.8803;;0.764163459;0.387295284;0;0.21234591;0.747711347;0.161802124;0;0.140859719
29;46.15;11.0331;;0.465723375;0.206619772;0;;0.560958135;0.111784645;0;
30;38.1103;13.3514;;0.989173938;0.433708382;0;0.646639962;0.496983912;0.08078436;1;5.80529E-16
31;43.9108;12.9042;;0.929649864;0.428522927;0;0.09260482;0.643986244;0.159896703;0;0.093930876
32;45.933;7.7;;0.74861703;0.453905556;0;0.355765276;0.289224423;0.020297053;0;
33;43.684;10.393;;0.632902729;0.363167545;0;;0.592181658;0.10069381;1;0.0004088
34;40.917;12.95;;0.617706942;0.396249609;0;;0.495969661;0.069469985;1;7.80618E-09
35;41.659;12.445;;0.671440575;0.358978473;0;;0.485485839;0.072706512;0;
36;46.5;13.7;;1.080274675;0.412594584;0;0.137516002;0.698254209;0.188514974;1;0.000760129
37;44.02;12.612;;0.621198379;0.404904835;0;;0.629161482;0.112436265;0;0.093018964
38;45.979;13.049;;0.585646851;0.344760942;0;;0.621617625;0.10030727;0;0.783929896
39;41.7831;12.5831;;0.72496557;0.358336826;0;;0.618812796;0.122914602;1;1.1711E-06
40;46.75;10.533;;0.554538696;0.328254776;0;;0.664816322;0.147683733;1;0.008424873
41;39.817;18.35;;0.580566096;0.439229544;0;;0.509837265;0.061904522;1;1.21436E-06
42;37.4;14.91667;;0.893592646;0.517731698;0;0.419544619;0.530546929;0.082560838;1;1.74329E-18
43;42.467;12.983;;0.459602342;0.242315152;0;;0.415647435;0.065497592;0;
44;45.033;7.733;;0.573071231;0.321335138;0;;0.562306144;0.084601266;1;0.018269431
45;37.911;12.488;;0.654064553;0.380732431;0;;0.443733896;0.059952138;1;1.1064E-14
46;38.7;13.183;;0.57958482;0.341986674;0;;0.461783549;0.062754376;1;5.48896E-11
47;45.3831;10.8667;;1.070860501;0.470363265;1;0.022729727;0.673242133;0.135112682;0;0.058356303
48;42.0828;12.2167;;0.888428818;0.451873962;0;;0.625862445;0.11501242;1;0.01139094
