;latitude;longtitude;;r_wet;p_wet;;;r_dry;p_dry;;
1;49.74;6.32;;0.821159476;0.29343132;1;0.000990096;0.575347657;0.183572505;0;0.48009195
2;49.85;5.87;;0.686998972;0.251481453;0;0.655525572;0.641353274;0.189797011;0;0.621522717
3;49.51;5.93;;0.782764525;0.284379813;0;0.627345953;0.577330668;0.180265443;0;0.338465393
4;49.8;5.94;;0.769241257;0.274998967;0;0.830470365;0.606599288;0.180963468;0;0.791139647
5;49.73;5.97;;0.746043088;0.276688427;1;0.016994347;0.590860036;0.178999324;0;0.162838612
6;50.05;6.03;;0.72387003;0.232727914;0;0.963428509;0.572034319;0.205924869;1;0.031734068
7;49.83;6.21;;0.804132291;0.270639507;0;0.23939994;0.620521668;0.19242566;0;0.332668624
8;49.9;6.03;;0.735475338;0.290209638;0;0.484656421;0.587848451;0.179141807;0;0.851323744
9;49.67;5.95;;0.804440361;0.28740301;0;0.301429318;0.566987735;0.174986318;0;0.738541287
10;49.7;6.14;;0.744565725;0.244674293;0;0.081616376;0.571737037;0.191884826;0;0.471769118
11;49.63;6.21;;0.825894044;0.281812254;0;0.886174116;0.589584151;0.191786649;0;0.246374102
