;latitude;longtitude;;r_wet;p_wet;;;r_dry;p_dry;;
1;52.2642;4.7689;;0.735685127;0.249856597;0;0.46562579;0.49599764;0.178906572;0;
2;51.9117;6.5656;;0.690497992;0.233635434;0;0.802222359;0.529292049;0.185863606;0;
3;52.2617;4.9828;;0.690259706;0.220870793;0;0.138542866;0.504549247;0.181872401;0;
4;53.0569;5.8203;;0.794118138;0.241802407;0;0.226639777;0.44060465;0.154095837;0;
5;52.35;6.6692;;0.737274542;0.241178448;0;0.174733534;0.540625608;0.186313986;0;
6;52.1578;6.3042;;0.737910787;0.255487797;0;0.959189382;0.547736664;0.191658381;0;
7;51.9983;5.4606;;0.752309129;0.245960013;0;0.258637483;0.523262475;0.185320044;0;
8;51.7481;5.2153;;0.704422717;0.232179887;0;0.226080462;0.536086619;0.180137453;0;
9;52.3733;4.9167;;0.740509478;0.244937219;0;0.840866535;0.525997776;0.18762701;0;0.10834666
10;51.7842;5.0542;;0.733518248;0.244373603;0;0.820985441;0.522289304;0.184692725;0;
11;53.3856;6.1314;;0.751988336;0.224352254;1;0.002555346;0.405623344;0.152547881;0;
12;51.64;4.1306;;0.741123444;0.262677347;0;0.177804928;0.501478064;0.173579609;0;
13;52.8642;4.8378;;0.708596403;0.243981835;0;0.182468965;0.465495605;0.176171295;0;
14;52.2258;5.9706;;0.707399328;0.224770092;0;0.622495995;0.554699558;0.199412192;0;
15;52.96;6.345;;0.734132824;0.228539797;0;0.323148112;0.475271496;0.182653706;0;
16;51.9975;5.9264;;0.691974842;0.229406416;0;0.902227951;0.532917147;0.193023711;0;
17;53.0031;6.5939;;0.739352837;0.225490659;0;0.338749996;0.521183065;0.199687977;0;
18;52.4731;4.7256;;0.671388364;0.232791065;0;0.744948029;0.399584445;0.119894386;0;
19;51.2767;3.9089;;0.686213956;0.223956969;0;0.449360188;0.551601081;0.202058506;0;0.112235805
20;51.8603;4.5381;;0.737731452;0.243210579;0;0.057610493;0.515444246;0.182261614;0;
21;52.1356;5.575;;0.71976775;0.229050934;1;0.00812474;0.496530773;0.181435906;0;
22;52.165;5.9583;;0.71761214;0.228118063;0;0.319755393;0.515781781;0.188255466;0;
23;51.2667;6.0381;;0.712842842;0.24814188;0;0.169271717;0.603278483;0.215924054;0;0.776054406
24;52.0019;4.9353;;0.710033555;0.238618942;0;0.315594632;0.496789049;0.181994341;0;
25;52.6814;4.6833;;0.684892651;0.234686341;0;0.372552367;0.518724163;0.19022234;0;
26;51.5075;4.2519;;0.704087379;0.262200219;0;0.287328467;0.504328721;0.170501573;0;
27;51.9819;4.4939;;0.770259137;0.252806583;0;0.658726336;0.508311155;0.173816469;0;
28;53.185;5.9908;;0.730385845;0.222216764;0;0.106881404;0.494729256;0.187443239;0;
