;latitude;longtitude;;r_wet;p_wet;;;r_dry;p_dry;;
1;50.078;19.785;;0.735499676;0.31347936;0;;0.507013477;0.188175546;0;
2;53.1;23.167;;0.644636242;0.303420963;0;;0.534770223;0.173674529;0;0.198201355
3;54.167;19.433;;0.676251212;0.290724646;0;;0.452332201;0.20837096;1;0.002114724
4;52.421;16.826;;0.670487593;0.330470802;0;;0.487202976;0.155150082;1;0.009982409
5;54.75;17.5331;;0.694344933;0.311620192;0;;0.511008427;0.167631797;0;0.083745282
6;52.166;20.967;;0.690446739;0.329762117;0;;0.479275999;0.15324944;1;0.011622559
7;52.25;22.25;;0.729544132;0.374380226;0;;0.584356816;0.173572467;1;0.016904016
8;51.103;16.886;;0.644172126;0.326487029;0;;0.601331909;0.182280829;1;0.006322172
9;53.4;14.617;;0.667490489;0.309223721;0;;0.479111639;0.155387306;1;0.023082757
10;51.55;23.533;;0.625134135;0.302324746;0;;0.543605616;0.188911405;0;0.298196381
