;latitude;longtitude;;r_wet;p_wet;;;r_dry;p_dry;;
1;46.2;14.5;;0.998321519;0.40596186;1;0.026326202;0.754248658;0.196382501;1;0.01133267
2;46.2;15.2;;1.059810398;0.449380884;0;0.108832734;0.71223748;0.181958825;0;
3;45.6;15.2;;0.91861543;0.369138128;1;0.043913828;0.74160067;0.202899177;0;0.551586309
4;45.6;14.9;;0.9236657;0.353534264;1;0.042422247;0.740460448;0.210523647;1;0.029795399
5;46.3792;13.8539;;0.93558217;0.324494531;0;0.142498181;0.701162928;0.225685412;1;0.002141921
6;46.4;14.2;;1.01980533;0.4155236;0;0.152661618;0.786112165;0.203231815;1;0.029475994
7;46.1;15.3;;1.030076087;0.431128549;0;0.375970935;0.729911805;0.197654091;0;0.290354729
8;46.0656;14.5169;;0.94823347;0.380173568;0;0.266598331;0.75795877;0.204893077;1;0.031119555
9;46.5;15.7;;0.972599988;0.46874947;0;0.541750403;0.758470033;0.193724045;1;0.00605156
10;46.7;16.2;;1.171566481;0.520495618;1;0.001227266;0.792007457;0.200384845;1;0.006271414
